id,lat,lon,source,collection_datetime,datetime,fc_leadtime,temp_2,precipitation_amount,probability_of_precipitation,rhum_2,windd_10,winds_10
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-16 20:00:00+00:00,0,24.7,0.0,0.0,56.2,113.3,3.2
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-16 21:00:00+00:00,1,24.4,0.0,0.3,56.8,121.3,2.5
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-16 22:00:00+00:00,2,24.0,0.0,6.7,59.3,112.5,2.6
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-16 23:00:00+00:00,3,23.7,0.0,2.5,62.3,112.1,2.7
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-17 00:00:00+00:00,4,23.4,0.0,2.3,64.8,123.3,3.0
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-17 01:00:00+00:00,5,23.4,0.0,10.2,67.5,152.2,4.8
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-17 02:00:00+00:00,6,24.2,0.0,13.8,58.7,143.4,3.3
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-17 03:00:00+00:00,7,23.0,0.0,23.3,74.7,149.5,3.2
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-17 04:00:00+00:00,8,22.5,0.0,11.0,78.5,141.0,2.6
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-17 05:00:00+00:00,9,22.6,0.0,4.3,78.6,156.1,2.5
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-17 06:00:00+00:00,10,23.2,0.0,10.0,77.5,168.4,2.1
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-17 07:00:00+00:00,11,23.9,0.0,9.7,73.5,185.8,1.5
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-17 08:00:00+00:00,12,24.8,0.0,12.2,70.6,119.2,1.7
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-17 09:00:00+00:00,13,26.3,0.0,21.0,64.3,171.8,2.2
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-17 10:00:00+00:00,14,25.3,0.0,23.3,69.4,231.5,4.1
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-17 11:00:00+00:00,15,23.6,0.0,29.5,75.3,257.4,3.5
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-17 12:00:00+00:00,16,23.3,0.0,9.2,70.8,240.6,2.6
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-17 13:00:00+00:00,17,22.6,0.0,21.6,74.1,198.1,3.6
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-17 14:00:00+00:00,18,20.9,0.0,15.1,87.3,167.3,3.3
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-17 15:00:00+00:00,19,20.9,0.0,12.1,87.3,139.4,3.1
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-17 16:00:00+00:00,20,21.7,0.0,1.5,81.9,134.2,3.7
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-17 17:00:00+00:00,21,21.8,0.0,1.5,79.0,153.4,4.3
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-17 18:00:00+00:00,22,21.5,0.0,3.5,82.2,166.5,4.1
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-17 19:00:00+00:00,23,21.0,0.0,4.8,86.8,175.4,3.3
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-17 20:00:00+00:00,24,20.7,0.0,0.7,90.8,181.9,3.1
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-17 21:00:00+00:00,25,20.3,0.0,0.8,93.9,178.3,2.6
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-17 22:00:00+00:00,26,20.1,0.0,0.0,96.1,196.0,2.2
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-17 23:00:00+00:00,27,19.8,0.0,0.0,98.1,178.7,1.7
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-18 00:00:00+00:00,28,19.6,0.0,0.0,98.8,159.3,1.8
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-18 01:00:00+00:00,29,19.6,0.0,2.4,98.6,169.7,1.9
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-18 02:00:00+00:00,30,19.5,0.0,0.9,98.9,186.3,1.4
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-18 03:00:00+00:00,31,19.4,0.0,0.0,99.2,169.6,1.3
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-18 04:00:00+00:00,32,19.7,0.0,0.0,98.8,167.1,1.3
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-18 05:00:00+00:00,33,20.8,0.0,0.0,92.4,164.6,1.4
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-18 06:00:00+00:00,34,22.3,0.0,0.0,82.5,168.7,1.4
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-18 07:00:00+00:00,35,23.8,0.0,0.0,73.9,168.2,1.6
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-18 08:00:00+00:00,36,25.1,0.0,0.4,68.5,173.1,2.0
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-18 09:00:00+00:00,37,26.0,0.0,1.3,64.3,190.9,2.0
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-18 10:00:00+00:00,38,26.8,0.0,0.3,61.2,191.4,1.6
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-18 11:00:00+00:00,39,27.2,0.0,1.4,59.0,252.2,1.4
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-18 12:00:00+00:00,40,27.3,0.0,1.0,58.6,312.5,1.5
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-18 13:00:00+00:00,41,27.3,0.0,0.0,57.6,312.3,1.9
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-18 14:00:00+00:00,42,26.5,0.0,0.0,67.0,334.2,2.3
MID_C1136,60.189670562744,21.897169113159,Aeris,2022-08-16 20:28:49.123766+00:00,2022-08-18 15:00:00+00:00,43,25.2,0.0,0.0,71.9,325.3,2.8
