ERROR:root:2022-08-16 05:54:14.701369: Observations for [49.703541, -0.039065, 49.357709, 1.30676] were not loaded from FMI.
ERROR:root:2022-08-16 05:54:14.837491: Observations for [59.373294, 17.811224, 59.239389, 18.324532] were not loaded from FMI.
ERROR:root:2022-08-16 05:55:27.411866: Forecast for LFOH of Aeris observation source was not loaded from FMI
ERROR:root:2022-08-16 05:55:27.612925: Forecast for MID_E6240 of Aeris observation source was not loaded from FMI
ERROR:root:2022-08-16 05:55:27.800186: Forecast for MID_E8226 of Aeris observation source was not loaded from FMI
ERROR:root:2022-08-16 05:55:27.996650: Forecast for MID_G1111 of Aeris observation source was not loaded from FMI
ERROR:root:2022-08-16 05:55:42.945856: Forecast for MID_C1136 of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:43.234602: Forecast for MID_D1410 of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:43.490827: Forecast for MID_D2380 of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:43.764353: Forecast for MID_D8228 of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:44.032591: Forecast for MID_AS468 of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:44.290498: Forecast for MID_AV970 of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:44.575363: Forecast for MID_E7395 of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:44.830834: Forecast for PWS_BASSEDV1 of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:45.095244: Forecast for EFHK of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:45.408089: Forecast for LFOH of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:45.690184: Forecast for MID_E6240 of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:45.954427: Forecast for MID_E8226 of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:46.252168: Forecast for MID_G1111 of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:46.553129: Forecast for ESSB of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:46.837672: Forecast for PWS_JNSSON of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:47.087921: Forecast for PWS_LOBECO of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:47.452050: Forecast for PWS_SEGELTORPCENTRAL of Aeris observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:47.760134: Forecast for 100934.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:48.006281: Forecast for 100945.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:48.266811: Forecast for 100947.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:48.536281: Forecast for 100949.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:48.797007: Forecast for 100951.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:49.122341: Forecast for 101065.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:49.397032: Forecast for 100971.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:49.666053: Forecast for 101004.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:49.935473: Forecast for 101009.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:50.187242: Forecast for 103943.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:50.461302: Forecast for 151028.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:50.766122: Forecast for 852678.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:55:51.024279: Forecast for 874863.0 of FMI observation source was not loaded from Accuweather
ERROR:root:2022-08-16 05:56:30.118744: Forecast for MID_C1136 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 05:56:30.352492: Forecast for MID_D1410 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 05:56:30.594962: Forecast for MID_D2380 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 05:56:30.804183: Forecast for MID_D8228 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 05:56:31.034276: Forecast for MID_AS468 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 05:56:31.248817: Forecast for MID_AV970 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 05:56:31.474122: Forecast for MID_E7395 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 05:56:31.687449: Forecast for PWS_BASSEDV1 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 05:56:31.917476: Forecast for EFHK of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 05:56:32.155552: Forecast for LFOH of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 05:56:32.351772: Forecast for MID_E6240 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 05:56:32.553249: Forecast for MID_E8226 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 05:56:32.783833: Forecast for MID_G1111 of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 05:56:33.034519: Forecast for ESSB of Aeris observation source was not loaded from Meteomatics
ERROR:root:2022-08-16 05:56:33.285880: Forecast for PWS_JNSSON of Aeris observation source was not loaded from Meteomatics
